"state" "dist" "incum84" "demo84" "repb84" "dpct84" "dwin84" "incum86" "demo86" "repb86" "dpct86" "dwin86"
"30" 13 2 1 97648 80855 0.547038425124508 1 1 69771 35132 0.665100140129453 1
"31" 13 20 0 102842 106958 0.490190657769304 0 -1 66359 80220 0.452718329365052 0
"32" 13 21 -1 44274 160053 0.216682083131451 0 -1 28339 102070 0.217308621337484 0
"33" 13 22 -1 57934 144278 0.286501295669891 0 -1 36852 94244 0.281106975041191 0
"35" 13 24 -1 60188 164019 0.268448353530443 0 -1 49225 117285 0.295627890216804 0
"36" 13 25 -1 52434 140256 0.272115833722560 0 -1 33864 104216 0.245249130938586 0
"38" 13 27 -1 93601 122215 0.433707417429662 0 -1 82491 83430 0.497170340101615 0
"39" 13 28 1 123334 90324 0.577249623229647 1 1 103908 48213 0.683061510245134 1
"40" 13 29 -1 48301 138362 0.258760439937213 0 -1 34194 99704 0.255373493256061 0
"41" 13 3 1 120191 112909 0.515619905619906 1 1 83985 60367 0.581806971846597 1
"42" 13 30 0 100066 119844 0.455031603837934 0 -1 86777 83402 0.50991602959237 1
"43" 13 31 -1 56156 168332 0.250151455757101 0 -1 67574 92508 0.422121162904012 0
"45" 13 33 1 155198 44880 0.775687481882066 1 1 109256 19147 0.850883546334587 1
"46" 13 34 1 110902 91016 0.549242761913252 1 0 56898 85856 0.398573770262129 0
"47" 13 4 -1 65678 154875 0.297787833309907 0 -1 43581 92214 0.320932287639457 0
"48" 13 5 -1 78429 138560 0.361442285092793 0 -1 49728 93473 0.347260144831391 0
"49" 13 6 1 120098 25040 0.827474541470876 1 0 58317 27773 0.677395748635149 1
"50" 13 7 1 97674 43370 0.692507302685687 1 1 62836 18384 0.77365180989904 1
"52" 13 9 0 71420 63910 0.52774698884209 1 0 50738 18040 0.737706824856786 1
"53" 1 4 -1 69666 165644 0.296060515915176 0 -1 66999 77212 0.464590079813606 0
"54" 14 1 1 148123 49559 0.749299379812021 1 1 88224 29811 0.747439318846105 1
"55" 14 10 -1 44571 150166 0.228877922531414 0 -1 40248 118603 0.253369509792195 0
"56" 14 11 0 108430 76692 0.585721848294638 1 1 112405 46785 0.706105911175325 1
"57" 14 12 1 134384 57466 0.700463904091738 1 1 97135 46937 0.674211505358432 1
"58" 14 13 -1 104756 133948 0.438853140290904 0 -1 71381 100701 0.414808056624168 0
"60" 14 15 -1 79490 110338 0.418747497734791 0 -1 56972 74829 0.432257721868575 0
"61" 14 16 -1 39515 138477 0.222004359746505 0 -1 34399 100784 0.254462469393341 0
"62" 14 17 -1 31770 129716 0.196735320708916 0 -1 36157 101027 0.263565721950082 0
"63" 14 18 1 149628 87521 0.630945102024466 1 1 104164 61164 0.630044517565083 1
"64" 14 19 -1 44117 141196 0.238067485821286 0 -1 37223 100055 0.271150512099535 0
"67" 14 21 -1 65594 125730 0.342842507996906 0 -1 26324 111148 0.191486266294227 0
"69" 14 23 -1 88957 94952 0.483701178300138 0 -1 63875 79595 0.445215027531888 0
"70" 14 3 1 152598 85358 0.64128662441796 1 1 107804 66693 0.617798586795189 1
"71" 14 4 1 114040 86769 0.567902833040352 1 1 86133 55165 0.609583999773528 1
"72" 14 5 -1 53586 141965 0.274025701735097 0 -1 45648 87593 0.342597248594652 0
"74" 14 7 1 124458 124046 0.50082896049963 1 0 69557 110118 0.387126756643940 0
"75" 14 8 1 112648 108696 0.508927280612983 1 1 85731 70047 0.550340869699187 1
"77" 1 5 1 109425 130700 0.455700156168662 0 1 63371 98664 0.39109451661678 0
"78" 1 6 -1 87489 155422 0.360168950767977 0 -1 62133 111304 0.358245357103732 0
"79" 2 1 -1 104972 182785 0.364793905969273 0 0 121848 100260 0.548597979361392 1
"81" 21 10 -1 57809 153330 0.273795935379063 0 -1 28990 87530 0.248798489529694 0
"82" 21 11 1 138171 82518 0.62608920245232 1 1 106970 44341 0.706954550561426 1
"83" 21 12 -1 45537 159582 0.222002837377327 0 -1 25536 89044 0.222866119741665 0
"84" 21 13 0 77623 157603 0.329993283055445 0 -1 38874 107227 0.266076207555048 0
"85" 21 14 0 82756 135967 0.378359843272084 0 0 70293 77288 0.476301149877017 0
"87" 21 16 -1 90850 127684 0.415724784244099 0 -1 46087 92982 0.331396644830983 0
"88" 21 17 1 128273 98069 0.566722040098612 1 1 85442 68101 0.556469523195457 1
"89" 21 18 -1 86884 136183 0.389497325915532 0 -1 56331 94308 0.37394698584032 0
"90" 21 19 -1 117634 107463 0.522592482352053 1 1 111105 56186 0.664142123604976 1
"91" 21 2 1 155349 31865 0.829793712008717 1 1 99268 19149 0.838291799319354 1
"92" 21 20 1 145092 91728 0.61266784899924 1 1 126556 59291 0.680968753867429 1
"93" 21 21 1 127046 84148 0.601560650397265 1 1 65722 64779 0.503612999134106 1
"94" 21 22 0 116952 115775 0.502528713900837 1 1 97585 85733 0.532326340021165 1
"95" 21 3 1 143363 79218 0.644093610865258 1 1 102949 52618 0.661766312906979 1
"96" 21 4 -1 68547 121744 0.360221975815987 0 0 57925 61633 0.484492882115793 0
"97" 21 5 1 106597 61109 0.635618284378615 1 1 82466 34738 0.70361079826627 1
"98" 21 6 -1 52189 157370 0.249042035894426 0 -1 32064 98196 0.246153846153846 0
"99" 21 7 1 135493 37411 0.78363137926248 1 1 90761 21055 0.811699577877942 1
"100" 21 8 1 114385 46030 0.713056759031263 1 1 82873 22383 0.787347039598693 1
"101" 21 9 1 144879 69613 0.675451765100796 1 1 92738 36715 0.716383552331734 1
"102" 2 2 -1 57347 192166 0.229835719982526 0 -1 43614 148770 0.226702844311377 0
"103" 22 1 0 147035 59986 0.710241956130054 1 1 86983 30395 0.741050281994922 1
"104" 22 10 1 115274 79342 0.592315123114235 1 1 68817 49064 0.583783646219493 1
"105" 22 2 1 118965 103061 0.535815625197049 1 1 102456 62013 0.622950221622312 1
"106" 22 3 -1 103961 115139 0.474491099954359 0 -1 75932 75979 0.499845304158356 0
"107" 22 4 -1 82053 129674 0.387541503917781 0 -1 43105 99865 0.301496817514164 0
"108" 22 5 -1 66631 143560 0.317002155182667 0 0 80772 75507 0.516844873591461 1
"109" 22 6 -1 65772 178814 0.26891154849419 0 -1 53431 118363 0.311017846956238 0
"110" 22 7 -1 69097 147787 0.318589660832519 0 -1 49675 104965 0.321229953440248 0
"111" 22 8 1 113860 114278 0.499083887822283 0 1 106662 93586 0.532649514601894 1
"112" 22 9 1 137018 72652 0.653493585157629 1 1 120586 46398 0.722141043453265 1
"113" 23 1 1 152432 17393 0.89758280582953 1 1 94307 10407 0.90061500849934 1
"114" 23 10 1 103636 104950 0.49685022005312 0 1 74941 78475 0.488482296501017 0
"115" 23 11 -1 89640 126992 0.41378928320839 0 -1 53180 91575 0.367379365134192 0
"116" 23 12 1 113772 79824 0.587677431351887 1 1 87643 44442 0.663534844986183 1
"117" 23 13 1 132222 20416 0.86624562690811 1 1 76435 12395 0.860463807272318 1
"118" 23 14 1 113610 77427 0.594701549961526 1 1 92328 33831 0.731838394407058 1
"119" 23 15 1 98973 66172 0.599309697538527 1 1 77950 25078 0.756590441433397 1
"120" 23 16 1 121463 68116 0.640698600583398 1 1 101659 28971 0.778220929342417 1
"122" 23 18 -1 46191 186505 0.198503627049885 0 -1 39144 110099 0.262283658195024 0
"123" 23 2 -1 62374 140688 0.307167269109927 0 -1 55204 79567 0.409613344117058 0
"124" 23 3 1 106505 94714 0.529298923063925 1 1 78720 51678 0.603690240647863 1
"125" 23 4 -1 63159 127907 0.330561167345315 0 0 41624 70331 0.371792237952749 0
"126" 23 5 0 85232 140131 0.37819872827394 0 1 40608 100577 0.287622622799872 0
"127" 23 6 1 106705 95113 0.528718944791842 1 1 74927 57283 0.56672717646169 1
"129" 23 8 1 126161 69683 0.644191295112436 1 1 97406 36695 0.726362965227701 1
"130" 23 9 -1 61233 150885 0.28867422849546 0 -1 49702 89991 0.355794492207913 0
"131" 24 1 1 121577 88859 0.57773859985934 1 1 90477 56100 0.617266010356331 1
"132" 24 10 -1 55172 149337 0.269777858187170 0 -1 44847 106870 0.295596406467304 0
"133" 24 11 1 133096 66278 0.667569492511561 1 1 104740 35944 0.744505416394188 1
"134" 24 12 -1 65215 148899 0.304580737364208 0 -1 42727 117905 0.265993077344489 0
"135" 24 13 1 131923 59610 0.688774258221821 1 1 88612 52452 0.628168774456984 1
"136" 24 14 1 155729 62366 0.71404204589743 1 0 83257 71713 0.537245918564884 1
"137" 24 15 -1 58870 148311 0.284147677634532 0 -1 55750 97745 0.363204013160038 0
"138" 24 16 -1 58048 152399 0.275831919675738 0 -1 36639 118206 0.236617262423714 0
"139" 24 17 -1 123014 105449 0.538441673268757 1 1 112855 43334 0.722554085114829 1
"141" 24 19 1 139605 107957 0.563919341417503 1 1 97814 80743 0.547802662455126 1
"142" 24 2 -1 68597 149856 0.314012625141335 0 -1 43448 105061 0.292561393585574 0
"144" 24 21 1 165247 29500 0.84852141496403 1 1 99878 22594 0.8155170161343 1
"146" 24 4 -1 47018 162199 0.224733171778584 0 -1 26320 115751 0.185259482934589 0
"147" 24 5 -1 78809 132582 0.372811519884953 0 -1 54864 102016 0.349719530851606 0
"148" 24 6 -1 52727 150101 0.259959177233912 0 -1 42155 106354 0.283854850547778 0
"150" 24 8 -1 46673 155200 0.231199813744285 0 0 46195 98475 0.319312919057165 0
"151" 24 9 1 117985 93210 0.558654324202751 1 1 105646 30643 0.775161605118535 1
"152" 25 1 1 127184 99080 0.562104444365873 1 1 106288 34495 0.754977518592444 1
"153" 25 2 1 159987 91345 0.636556427355052 1 1 106919 85156 0.556652349342705 1
"154" 25 3 -1 74253 160437 0.316387575099067 0 -1 58445 104393 0.358914995271374 0
"158" 25 7 1 146131 92507 0.612354277189718 1 1 106700 63408 0.627248571495756 1
"159" 25 8 -1 73090 161005 0.312223669877614 0 -1 57265 118162 0.3264320771603 0
"160" 25 9 -1 64157 180247 0.262503887006759 0 -1 38636 138766 0.217787849065963 0
"161" 3 1 -1 60372 162646 0.270704606803038 0 -1 32396 113653 0.221815965874467 0
"162" 3 10 1 143062 113745 0.557079830378455 1 1 121578 49451 0.710861900613346 1
"164" 31 1 -1 65293 131182 0.332322178394198 0 -1 43985 86834 0.336227917962987 0
"165" 31 2 -1 77335 136893 0.360993894355546 0 -1 55903 88708 0.386575018497901 0
"166" 31 3 -1 86574 133737 0.392962675490557 0 0 83504 69386 0.546170449342665 1
"167" 31 4 1 136922 88717 0.606818856669281 1 1 107271 49641 0.683637962679719 1
"168" 31 5 0 101435 104632 0.492242814230323 0 -1 58552 85025 0.407809050196062 0
"169" 31 6 1 127706 78182 0.620269272614237 1 0 78807 81861 0.490495929494361 0
"170" 3 2 1 132693 60463 0.686973223715546 1 1 91033 47022 0.65939661729021 1
"171" 32 1 -1 49015 159931 0.234582140840217 0 -1 43359 141297 0.234809591889784 0
"172" 32 2 1 112263 73045 0.605818421223045 1 1 110737 46029 0.706384037355039 1
"174" 32 4 1 138917 47776 0.744093243988794 1 1 111164 61178 0.64501978623899 1
"175" 32 5 -1 49435 144075 0.255464833858715 0 -1 47540 116800 0.289278325422904 0
"177" 33 1 1 140095 105723 0.56991351324964 1 1 125115 47750 0.723772886356405 1
"178" 33 2 -1 89770 153308 0.369305325862480 0 -1 94048 100249 0.484042471062343 0
"179" 33 3 -1 76132 207819 0.268116682103602 0 -1 54261 127434 0.298637827127879 0
"180" 33 4 1 167678 57450 0.744811840375253 1 1 112662 41926 0.728788780500427 1
"181" 33 5 1 165075 62642 0.724912940184527 1 1 105410 37583 0.737168952326338 1
"182" 33 6 1 154603 101058 0.604718748655446 1 1 110598 57460 0.658094229373193 1
"183" 33 7 -1 101720 135087 0.429548113020308 0 -1 93903 94024 0.499678066483262 0
"184" 33 8 1 165727 79181 0.676690839008934 1 1 135718 51315 0.725636652355467 1
"186" 34 1 1 147436 68538 0.6826562456592 1 1 91044 46599 0.661450273533707 1
"187" 34 2 1 139123 127710 0.521386035460382 1 1 93538 101010 0.480796512942821 0
"190" 34 5 1 150675 72477 0.675212411271241 1 1 101030 39340 0.719740685331624 1
"191" 34 6 -1 81917 150996 0.351706431156698 0 -1 73155 95865 0.432818601348953 0
"192" 34 7 -1 71867 164586 0.303937780446854 0 -1 56291 114210 0.330150556301723 0
"193" 34 8 -1 70922 134186 0.345778809212707 0 -1 71532 79142 0.47474680435908 0
"194" 34 9 1 123588 110100 0.528858991475814 1 1 95939 70972 0.574791355872291 1
"196" 35 1 -1 55508 158836 0.258966894338073 0 -1 67137 121772 0.355393337532886 0
"197" 35 2 -1 75210 139384 0.350475782174711 0 -1 70372 99569 0.414096657075103 0
"198" 35 3 -1 36899 183901 0.167115036231884 0 -1 59182 136985 0.301691925757135 0
"200" 36 98 1 242968 65761 0.786994419053604 1 1 216258 66989 0.76349617118628 1
"202" 37 98 1 181401 134821 0.57365078963513 1 1 171462 118261 0.591813559848545 1
"205" 40 1 -1 79577 118085 0.402591292205887 0 -1 63364 80713 0.439792610895563 0
"206" 40 10 -1 95074 158528 0.374894519759308 0 -1 63292 95724 0.398022840468884 0
"211" 40 6 1 105207 91344 0.535265656241891 1 1 88230 38051 0.698679928096863 1
"213" 40 8 -1 97250 125015 0.43754077340112 0 -1 44965 72670 0.382241679772177 0
"215" 4 1 0 76854 111627 0.407754627787416 0 -1 54787 70739 0.436459378933448 0
"217" 41 2 -1 75506 118153 0.389891510335177 0 -1 57568 115302 0.333013246948574 0
"221" 41 6 1 130973 87550 0.599355674231088 1 1 139608 51924 0.728901697888603 1
"223" 4 2 -1 42257 138975 0.233165224684382 0 -1 29688 85479 0.257782177186173 0
"225" 42 2 0 103165 90841 0.531761904271002 1 1 128814 41244 0.75747098048901 1
"229" 43 10 -1 77635 126206 0.380860572701272 0 -1 49559 122368 0.288256062165919 0
"230" 43 11 1 145764 95115 0.605133697831691 1 1 149036 55904 0.727217722260174 1
"233" 43 14 1 153935 123926 0.554000021593531 1 1 171961 61185 0.737567875923241 1
"235" 43 16 1 108410 83903 0.563716441426217 1 1 121213 52807 0.696546373980002 1
"237" 43 18 1 76404 49818 0.605314445976137 1 1 80047 28803 0.735388148828663 1
"238" 43 19 1 115631 64317 0.642580078689399 1 1 99203 44455 0.690549777944841 1
"246" 43 9 -1 52150 191343 0.214174534791555 0 -1 68574 166504 0.291707433277465 0
"251" 44 4 -1 106376 120456 0.468963814629329 0 -1 75892 86366 0.467724241639857 0
"253" 44 6 -1 52061 116655 0.308571801133265 0 -1 51352 75583 0.404553511639816 0
"254" 44 7 1 106586 86431 0.552210427060829 1 1 88636 44891 0.663805822043482 1
"266" 46 2 -1 89154 92392 0.491082149978518 0 -1 73119 68292 0.517067271994399 1
"268" 46 4 1 113635 91797 0.5531514077651 1 1 85819 34190 0.715104700480797 1
"269" 46 5 -1 25840 142637 0.153374051057414 0 -1 16143 75288 0.176559372641664 0
"270" 47 1 1 122815 60153 0.671237593458965 1 1 91122 39912 0.695407298868996 1
"271" 47 10 -1 51860 142873 0.266313362398772 0 0 62035 83902 0.425080685501278 0
"272" 47 11 1 108284 112598 0.490234604902165 0 -1 91575 89069 0.506936294590465 1
"273" 47 2 1 122292 58312 0.677127859848065 1 1 95320 32515 0.745648687761568 1
"274" 47 3 1 100185 56096 0.641056814328037 1 0 71460 39408 0.644550276003896 1
"275" 47 4 1 114462 117436 0.493587698039655 0 -1 92216 73469 0.556574222168573 1
"276" 47 5 1 109831 106599 0.507466617382063 1 1 86410 73261 0.541175291693545 1
"277" 47 6 1 100263 102925 0.493449416304112 0 -1 72250 72329 0.4997267929644 0
"278" 47 7 1 92157 63625 0.591576690503396 1 1 70471 39289 0.642046282798834 1
"279" 47 8 1 99731 96354 0.508611061529439 1 1 80959 58941 0.578691922802001 1
"280" 47 9 0 109099 109420 0.499265510092944 0 -1 76240 80352 0.48687033820374 0
"281" 48 1 0 64022 103288 0.382654951885721 0 0 55262 59969 0.479575808593174 0
"282" 48 2 -1 63932 108085 0.37166094048844 0 -1 63592 73455 0.464015994512831 0
"283" 48 3 1 88917 61739 0.590198863636364 1 1 79109 36495 0.68431023147988 1
"284" 48 4 -1 57854 105139 0.354947758492696 0 -1 67012 61648 0.520845639670449 1
"286" 48 6 1 97329 63005 0.607039055970661 1 1 92398 29922 0.755379332897319 1
"291" 49 13 1 95367 107600 0.469864559263329 0 -1 45907 84980 0.350737659202213 0
"292" 49 14 1 98885 104181 0.486959904661539 0 -1 67852 74471 0.47674655537053 0
"294" 49 16 1 76375 56589 0.574403597966367 1 1 50590 26421 0.656919141421355 1
"297" 49 19 0 74044 102805 0.418684866750731 0 -1 42129 68695 0.380143290262037 0
"298" 49 2 1 113225 77842 0.592593174122167 1 1 78529 55986 0.583793628963313 1
"300" 49 21 -1 48039 199909 0.193746269379063 0 -1 63779 100346 0.388600152322925 0
"301" 49 22 0 66495 125225 0.34683392447319 0 -1 30079 76459 0.282331186994312 0
"303" 49 24 1 105210 71703 0.594699089382917 1 1 69368 33819 0.672255225949005 1
"305" 49 26 1 120451 126641 0.487474301070047 0 -1 47651 101735 0.318979020791774 0
"308" 49 4 1 120749 87553 0.579682384230588 1 1 97540 38578 0.71658414023127 1
"310" 49 6 0 100799 131482 0.433952841601336 0 -1 68270 86190 0.441991454098148 0
"311" 49 7 -1 32835 213480 0.133304914438828 0 -1 17635 129673 0.119715154641975 0
"312" 49 8 -1 62072 113031 0.354488501053666 0 -1 30617 66280 0.315974694778992 0
"313" 49 9 1 120559 84306 0.588480218680595 1 1 73285 45834 0.61522511102343 1
"314" 5 1 1 130584 60026 0.685084727978595 1 1 85077 62397 0.576894910289271 1
"317" 51 3 1 145680 68185 0.681177378252636 1 1 81943 29348 0.736294938494577 1
"318" 51 4 -1 93640 108398 0.463477167661529 0 0 53906 67626 0.443553961096666 0
"320" 51 6 -1 49657 126525 0.281850586325504 0 -1 26315 75906 0.257432425822483 0
"321" 51 7 1 122679 43890 0.736505592277074 1 1 90619 23209 0.796104649119724 1
"322" 5 2 -1 64341 135161 0.32250804503213 0 -1 44586 113603 0.281852720479932 0
"323" 52 1 1 96673 68865 0.583992799236429 1 1 88113 43764 0.668145317227416 1
"324" 52 2 1 105571 111517 0.486305092865566 0 1 68200 96745 0.413471157052351 0
"325" 52 3 1 133189 59493 0.691237375572186 1 1 100161 26452 0.791079904907079 1
"326" 52 4 -1 58312 114430 0.337567007444628 0 0 65075 64651 0.501634213650309 1
"327" 52 5 1 116310 44839 0.721754401206337 1 1 82098 18102 0.81934131736527 1
"328" 52 6 1 123383 66056 0.651307280971711 1 1 102975 39600 0.722251446607049 1
"330" 52 8 1 181947 70715 0.72012016053067 1 0 82825 92917 0.471287455474502 0
"331" 53 1 1 113919 103098 0.524931226585936 1 0 61663 78919 0.438626566701285 0
"332" 53 2 1 148124 51889 0.740571862828916 1 1 114543 41795 0.732662564443705 1
"333" 53 3 1 137964 39454 0.77762121092561 1 1 114008 31913 0.781299470261306 1
"334" 53 4 1 109447 60844 0.64270572138281 1 1 94984 29697 0.761816154827119 1
"335" 53 5 -1 39089 135167 0.224319392158663 0 -1 45256 108774 0.293812893592157 0
"338" 54 2 -1 38846 132604 0.226573344998542 0 -1 30088 96396 0.237879889946555 0
"339" 54 3 0 99465 90216 0.52438040710456 1 1 75034 64084 0.539355079860263 1
"342" 54 6 0 103989 61559 0.62815014376495 1 0 102180 30823 0.76825334766885 1
"347" 56 2 1 100345 78936 0.559707944511688 1 1 76355 33554 0.694711079165491 1
"348" 56 3 1 125306 59128 0.679408352039212 1 1 73669 39820 0.649128990474848 1
"349" 56 4 1 98919 49474 0.666601524330662 1 1 58217 23490 0.712509332125767 1
"350" 61 1 -1 45609 162418 0.219245578698919 0 0 51163 127370 0.286574470826122 0
"354" 61 5 1 109871 116075 0.486271055916015 0 -1 64848 119647 0.351489200249329 0
"355" 62 1 1 126348 73993 0.630664716658098 1 1 106113 49095 0.683682542137003 1
"356" 62 2 1 118580 101488 0.538833451478634 1 0 91223 86032 0.514642746325915 1
"357" 62 3 0 90063 122669 0.423363668841547 0 -1 95353 88508 0.518614605598795 1
"358" 62 4 -1 56462 146469 0.278232502673322 0 -1 50672 117089 0.30204874792115 0
"359" 62 5 -1 44588 163654 0.214116268572142 0 0 52488 121153 0.302278839674962 0
"361" 63 1 -1 63591 139085 0.313756932246541 0 -1 59723 120553 0.331286471854268 0
"362" 63 2 -1 101287 101117 0.500419952174858 1 1 103035 86528 0.543539614798247 1
"363" 64 1 1 126998 61794 0.67268740200856 1 1 98501 61230 0.61666802311386 1
"364" 64 2 -1 60445 116932 0.340771351415347 0 -1 73583 84548 0.46532937880618 0
"365" 65 1 1 73242 55391 0.569387326735752 1 0 61830 50342 0.551207074849339 1
"366" 65 2 -1 36130 99775 0.265847466980611 0 -1 59433 83479 0.415871305418719 0
"367" 66 1 -1 60598 115808 0.343514392934481 0 -1 37138 90476 0.291018226840315 0
"368" 66 2 -1 40063 116006 0.256700561930941 0 -1 45924 77787 0.371220020855057 0
"369" 66 3 1 100470 62351 0.617057996204421 1 1 95760 38552 0.712966823515397 1
"370" 67 1 -1 56619 142952 0.283703544102099 0 -1 77180 82151 0.484400399169025 0
"371" 67 2 0 105044 105540 0.498822322683585 0 0 76921 60967 0.557851299605477 1
"372" 67 3 -1 46560 138918 0.251027075987449 0 -1 42582 86599 0.329630518419891 0
"373" 68 98 -1 45857 138234 0.249099630074257 0 -1 48780 111007 0.305281405871567 0
"375" 71 1 1 157037 95186 0.622611736439579 1 1 138174 54436 0.71737708322517 1
"376" 71 10 1 102469 56256 0.64557568120964 1 1 84240 31826 0.725793944824496 1
"377" 71 11 1 147607 59625 0.71227899166152 1 1 112380 39315 0.740828636408583 1
"378" 71 12 -1 91026 155795 0.368793579152503 0 0 69564 111252 0.384722590921157 0
"379" 71 13 1 139851 70666 0.664321646232846 1 1 107696 46754 0.697287147944319 1
"380" 71 14 -1 58384 179238 0.245701155616904 0 -1 53597 146906 0.267312708538027 0
"381" 71 15 1 109590 54730 0.666930379746835 1 1 93600 35793 0.723377617027196 1
"382" 71 16 1 153377 60065 0.718588656403145 1 1 128151 31386 0.803268207375092 1
"383" 71 17 -1 48888 128802 0.275130845855141 0 -1 58682 88787 0.397927700058995 0
"384" 71 18 1 128186 62339 0.672804093950925 1 1 101480 40907 0.712705513846067 1
"385" 71 19 -1 70278 153187 0.314492202358311 0 -1 45619 122578 0.271223624678205 0
"386" 71 2 -1 69793 158679 0.305477257607059 0 0 74602 109758 0.404653937947494 0
"387" 71 20 -1 62307 151732 0.291101154462505 0 -1 49027 129989 0.273869374804487 0
"388" 71 21 -1 62085 173504 0.263530979799566 0 0 54497 132090 0.292072866812800 0
"390" 71 23 1 140461 84093 0.625511012941208 1 1 121468 58746 0.674020886279645 1
"392" 71 25 1 74261 24968 0.748380009876145 1 1 62692 17558 0.781208722741433 1
"393" 71 26 1 117080 69372 0.627936412588763 1 1 98091 52662 0.650673618435454 1
"394" 71 27 1 116933 88896 0.56810750671674 1 1 110403 59410 0.650144570792578 1
"395" 71 28 1 113076 33511 0.771391733236917 1 1 92635 25858 0.781776138674858 1
"396" 71 29 1 108777 16781 0.866348619761385 1 1 78132 13432 0.85330479227644 1
"398" 71 30 1 64378 53900 0.544293951537902 1 1 59369 33705 0.637868792573651 1
"399" 71 31 1 100658 41691 0.707121230215878 1 1 77126 30322 0.717798376889286 1
"400" 71 32 1 102961 62176 0.623488376317845 1 1 90739 39003 0.699380308612477 1
"401" 71 33 -1 54147 147363 0.268706267679023 0 -1 44312 118541 0.272098149865216 0
"402" 71 34 1 87060 58467 0.598239501948092 1 1 66404 43659 0.603327185339306 1
"404" 71 36 1 104438 80212 0.565599783373951 1 1 78118 58660 0.571129860065215 1
"405" 71 37 -1 85908 149955 0.364228386817771 0 -1 69808 122416 0.363159647078409 0
"406" 71 38 1 73231 86545 0.458335419587422 0 1 50625 66032 0.433964528489503 0
"407" 71 39 -1 54889 175788 0.237947432990719 0 -1 42377 137603 0.235453939326592 0
"408" 71 4 1 130109 77773 0.625879104491971 1 1 128364 54596 0.70159597726279 1
"409" 71 40 -1 86748 164257 0.345602677237505 0 -1 75664 119829 0.387041991273345 0
"410" 71 41 -1 85475 161068 0.346694085818701 0 -1 59816 133566 0.309315241335802 0
"411" 71 42 -1 60025 177783 0.252409506829039 0 -1 47586 140364 0.253184357541899 0
"412" 71 43 -1 50996 165643 0.235396212131703 0 -1 45078 137341 0.247112417017964 0
"413" 71 44 1 99378 39977 0.713128341286642 1 1 70557 36359 0.659929290283961 1
"414" 71 45 -1 45325 149011 0.233230075745101 0 -1 32800 118900 0.216216216216216 0
"415" 71 5 1 139692 45930 0.752561657562142 1 1 122688 36039 0.772949781700656 1
"416" 71 6 1 162511 71011 0.69591301890186 1 1 142946 50606 0.738540547243118 1
"417" 71 7 1 158306 78985 0.667138660969021 1 1 124174 62379 0.665623174111379 1
"418" 71 8 1 144316 94907 0.603269752490354 1 1 121790 76850 0.6131192106323 1
"419" 71 9 1 136511 51399 0.726470118673833 1 1 113490 49300 0.697155844953621 1
"420" 72 1 1 138393 122247 0.530973756906077 1 1 141585 87874 0.617038338003739 1
"421" 72 2 -1 100152 132649 0.430204337610234 0 -1 75124 113566 0.398134506333139 0
"422" 72 3 1 173438 66394 0.723164548517295 1 1 180067 29321 0.8599680975032 1
"423" 72 4 1 134190 96487 0.581722495090538 1 1 105697 89795 0.540671741043112 1
